Layer,arm,loongarch,mips,riscv,vulkan,x86
Softmax,1,1,1,1,1,1
Quantize,1,1,1,0,0,1
Dequantize,1,1,1,0,0,1
MatMul,1,0,0,0,0,1
SELU,1,0,0,1,0,1
Permute,0,0,0,0,1,0
StatisticsPooling,0,0,0,0,0,0
ConvolutionDepthWise1D,0,0,0,0,0,0
Scale,1,0,0,0,1,1
Power,0,0,0,0,0,0
Flatten,1,1,1,1,1,1
Embed,0,0,0,0,0,0
ROIAlign,0,0,0,0,0,1
HardSigmoid,1,1,1,1,1,1
Input,0,0,0,0,0,0
Shrink,0,0,0,0,0,0
Eltwise,1,1,1,0,1,1
RNN,1,0,0,0,0,0
ShuffleChannel,1,0,0,0,1,1
Gemm,1,0,0,0,1,1
Requantize,1,1,1,0,0,1
CopyTo,0,0,0,0,0,0
Tile,0,0,0,0,0,0
PSROIPooling,0,0,0,0,0,0
BatchNorm,1,1,1,1,1,1
Pooling3D,0,0,0,0,0,0
ReLU,1,1,1,1,1,1
GELU,1,0,0,1,1,1
LayerNorm,0,0,0,0,0,1
Convolution,1,1,1,1,1,1
Swish,1,1,1,1,1,1
GRU,1,0,0,1,0,0
Proposal,0,0,0,0,0,0
InstanceNorm,1,0,0,1,1,0
DeepCopy,0,0,0,0,1,0
Bias,1,1,1,0,0,1
Einsum,0,0,0,0,0,0
PReLU,1,1,1,1,1,1
AbsVal,1,1,1,1,1,0
Slice,1,1,1,0,1,1
Normalize,0,0,0,0,1,0
SPP,0,0,0,0,0,0
Noop,0,0,0,0,0,0
GroupNorm,0,0,0,0,0,1
Convolution1D,1,1,1,1,0,1
Packing,1,1,1,1,1,1
PriorBox,0,0,0,0,1,0
DeconvolutionDepthWise3D,0,0,0,0,0,0
LSTM,1,0,0,0,0,1
Softplus,0,0,0,0,0,0
Threshold,0,0,0,0,0,0
Unfold,0,0,0,0,0,0
Deconvolution3D,0,0,0,0,0,0
Concat,1,1,1,1,1,1
TanH,1,1,1,1,1,1
Mish,1,1,1,1,1,1
MultiHeadAttention,1,0,0,0,1,1
GLU,0,0,0,0,0,0
ConvolutionDepthWise,1,1,1,1,1,1
Dropout,1,1,1,1,1,1
ELU,0,0,0,0,1,1
Log,0,0,0,0,0,0
Clip,1,1,1,1,1,1
Reshape,1,0,0,0,1,1
Crop,1,1,1,1,1,1
Cast,1,1,1,1,1,1
Diag,0,0,0,0,0,0
CELU,0,0,0,0,1,0
MemoryData,0,0,0,0,1,0
ArgMax,0,0,0,0,0,0
Yolov3DetectionOutput,0,0,0,0,0,1
Sigmoid,1,1,1,1,1,1
Deconvolution1D,0,0,0,0,0,0
DeconvolutionDepthWise,1,1,1,1,1,1
BNLL,0,0,0,0,0,1
DeformableConv2D,0,0,0,0,0,1
Erf,0,0,0,0,1,0
Convolution3D,0,0,0,0,0,0
Fold,0,0,0,0,0,0
Reorg,0,0,0,0,1,0
ROIPooling,0,0,0,0,0,0
DeconvolutionDepthWise1D,0,0,0,0,0,0
GridSample,0,0,0,0,0,0
DetectionOutput,0,0,0,0,0,0
Exp,0,0,0,0,0,0
Pooling,1,1,1,1,1,1
Squeeze,0,0,0,0,0,0
YoloDetectionOutput,0,0,0,0,0,0
UnaryOp,1,1,1,1,1,1
ConvolutionDepthWise3D,0,0,0,0,0,0
Interp,1,1,1,1,1,1
InnerProduct,1,1,1,1,1,1
CumulativeSum,0,0,0,0,0,0
MVN,0,0,0,0,0,0
Pooling1D,0,0,0,0,0,0
ExpandDims,0,0,0,0,0,0
Reduction,0,0,0,0,0,0
Split,1,1,1,1,1,1
BinaryOp,1,1,1,1,1,1
Deconvolution,1,1,1,1,1,1
Padding,1,1,1,1,1,1
HardSwish,1,1,1,1,1,1
PixelShuffle,1,0,0,0,1,0
LRN,1,0,0,0,1,1
