Layer,arm,loongarch,mips,riscv,vulkan,x86
AbsVal,1,1,1,1,1,0
ArgMax,0,0,0,0,0,0
BatchNorm,1,1,1,1,1,1
Bias,1,1,1,0,0,1
BinaryOp,1,1,1,1,1,1
BNLL,0,0,0,0,0,1
Cast,1,1,1,1,1,1
Clip,1,1,1,1,1,1
Concat,1,1,1,1,1,1
Convolution,1,1,1,1,1,1
Convolution1D,1,1,1,1,0,1
Convolution3D,0,0,0,0,0,0
ConvolutionDepthWise,1,1,1,1,1,1
ConvolutionDepthWise1D,0,0,0,0,0,0
ConvolutionDepthWise3D,0,0,0,0,0,0
Crop,1,1,1,1,1,1
Deconvolution,1,1,1,1,1,1
Deconvolution1D,0,0,0,0,0,0
Deconvolution3D,0,0,0,0,0,0
DeconvolutionDepthWise,1,1,1,1,1,1
DeconvolutionDepthWise1D,0,0,0,0,0,0
DeconvolutionDepthWise3D,0,0,0,0,0,0
DeepCopy,0,0,0,0,1,0
DeformableConv2D,0,0,0,0,0,1
Dequantize,1,1,1,0,0,1
DetectionOutput,0,0,0,0,0,0
Dropout,1,1,1,1,1,1
Einsum,0,0,0,0,0,0
Eltwise,1,1,1,0,1,1
ELU,0,0,0,0,1,1
Embed,0,0,0,0,0,0
Exp,0,0,0,0,0,0
ExpandDims,0,0,0,0,0,0
Flatten,1,1,1,1,1,1
Fold,0,0,0,0,0,0
GELU,1,0,0,1,0,1
Gemm,1,0,0,0,0,1
GLU,0,0,0,0,0,0
GridSample,0,0,0,0,0,0
GroupNorm,0,0,0,0,0,0
GRU,1,0,0,1,0,0
HardSigmoid,1,1,1,1,1,1
HardSwish,1,1,1,1,1,1
InnerProduct,1,1,1,1,1,1
Input,0,0,0,0,0,0
InstanceNorm,1,0,0,1,1,0
Interp,1,1,1,1,1,1
LayerNorm,0,0,0,0,0,1
Log,0,0,0,0,0,0
LRN,1,0,0,0,1,1
LSTM,1,0,0,0,0,1
MatMul,0,0,0,0,0,1
MemoryData,0,0,0,0,1,0
Mish,1,1,1,1,1,1
MultiHeadAttention,1,0,0,0,0,1
MVN,0,0,0,0,0,0
Noop,0,0,0,0,0,0
Normalize,0,0,0,0,1,0
Packing,1,1,1,1,1,1
Padding,1,1,1,1,1,1
Permute,0,0,0,0,1,0
PixelShuffle,1,0,0,0,1,0
Pooling,1,1,1,1,1,1
Pooling1D,0,0,0,0,0,0
Pooling3D,0,0,0,0,0,0
Power,0,0,0,0,0,0
PReLU,1,1,1,1,1,1
PriorBox,0,0,0,0,1,0
Proposal,0,0,0,0,0,0
PSROIPooling,0,0,0,0,0,0
Quantize,1,1,1,0,0,1
Reduction,0,0,0,0,0,0
ReLU,1,1,1,1,1,1
Reorg,0,0,0,0,1,0
Requantize,1,1,1,0,0,1
Reshape,1,0,0,0,1,1
RNN,1,0,0,0,0,0
ROIAlign,0,0,0,0,0,1
ROIPooling,0,0,0,0,0,0
Scale,1,0,0,0,1,1
SELU,1,0,0,1,0,0
ShuffleChannel,1,0,0,0,1,0
Sigmoid,1,1,1,1,1,1
Slice,1,1,1,0,1,1
Softmax,1,1,1,1,1,1
Softplus,0,0,0,0,0,0
Split,0,0,0,0,0,0
SPP,0,0,0,0,0,0
Squeeze,0,0,0,0,0,0
StatisticsPooling,0,0,0,0,0,0
Swish,1,1,1,1,1,1
TanH,1,1,1,1,1,1
Threshold,0,0,0,0,0,0
Tile,0,0,0,0,0,0
UnaryOp,1,1,1,1,1,1
Unfold,0,0,0,0,0,0
YoloDetectionOutput,0,0,0,0,0,0
Yolov3DetectionOutput,0,0,0,0,0,1
